Date,PM2.5
2014-05-23,15.0
2014-05-24,30.0
2014-05-25,31.0
2014-05-26,33.0
2014-05-27,27.0
2014-05-28,35.0
2014-05-29,35.0
2014-05-30,25.0
2014-05-31,28.0
2014-06-01,30.0
2014-06-02,34.0
2014-06-03,27.0
2014-06-04,28.0
2014-06-05,24.0
2014-06-06,24.0
2014-06-07,22.0
2014-06-08,21.0
2014-06-09,24.0
2014-06-10,24.0
2014-06-11,24.0
2014-06-12,21.0
2014-06-13,22.0
2014-06-14,23.0
2014-06-15,19.0
2014-06-16,
2014-06-17,
2014-06-18,
2014-06-19,31.0
2014-06-20,33.0
2014-06-21,37.0
2014-06-22,34.0
2014-06-23,33.0
2014-06-24,25.0
2014-06-25,24.0
2014-06-26,34.0
2014-06-27,40.0
2014-06-28,31.0
2014-06-29,29.0
2014-06-30,31.0
2014-07-01,31.0
2014-07-02,29.0
2014-07-03,25.0
2014-07-04,28.0
2014-07-05,26.0
2014-07-06,27.0
2014-07-07,24.0
2014-07-08,20.0
2014-07-09,24.0
2014-07-10,22.0
2014-07-11,24.0
2014-07-12,19.0
2014-07-13,26.0
2014-07-14,39.0
2014-07-15,26.0
2014-07-16,28.0
2014-07-17,25.0
2014-07-18,23.0
2014-07-19,25.0
2014-07-20,32.0
2014-07-21,31.0
2014-07-22,29.0
2014-07-23,28.0
2014-07-24,23.0
2014-07-25,28.0
2014-07-26,27.0
2014-07-27,27.0
2014-07-28,26.0
2014-07-29,33.0
2014-07-30,39.0
2014-07-31,39.0
2014-08-01,37.0
2014-08-02,32.0
2014-08-03,34.0
2014-08-04,35.0
2014-08-05,26.0
2014-08-06,24.0
2014-08-07,27.0
2014-08-08,23.0
2014-08-09,25.0
2014-08-10,25.0
2014-08-11,23.0
2014-08-12,25.0
2014-08-13,28.0
2014-08-14,32.0
2014-08-15,29.0
2014-08-16,40.0
2014-08-17,31.0
2014-08-18,28.0
2014-08-19,28.0
2014-08-20,34.0
2014-08-21,31.0
2014-08-22,40.0
2014-08-23,39.0
2014-08-24,26.0
2014-08-25,35.0
2014-08-26,35.0
2014-08-27,
2014-08-28,
2014-08-29,24.0
2014-08-30,20.0
2014-08-31,21.0
2014-09-01,20.0
2014-09-02,19.0
2014-09-03,24.0
2014-09-04,24.0
2014-09-05,17.0
2014-09-06,19.0
2014-09-07,21.0
2014-09-08,17.0
2014-09-09,20.0
2014-09-10,21.0
2014-09-11,22.0
2014-09-12,24.0
2014-09-13,22.0
2014-09-14,21.0
2014-09-15,26.0
2014-09-16,25.0
2014-09-17,14.0
2014-09-18,20.0
2014-09-19,29.0
2014-09-20,24.0
2014-09-21,23.0
2014-09-22,25.0
2014-09-23,21.0
2014-09-24,30.0
2014-09-25,32.0
2014-09-26,29.0
2014-09-27,29.0
2014-09-28,29.0
2014-09-29,26.0
