Date,61T,54T,24T,26T,27T,30T,36T,40T,46T,44T
11/10/2014,N/A,22,36,5,13,29,25,28,N/A,23
12/10/2014,32,49,60,19,38,36,24,25,N/A,29
13/10/2014,42,59,58,39,60,53,35,38,N/A,19
14/10/2014,37,50,N/A,44,53,37,53,51,N/A,18
15/10/2014,51,65,82,66,77,53,48,57,N/A,11
16/10/2014,57,74,83,59,92,54,51,52,N/A,17
17/10/2014,N/A,59,63,46,71,57,45,49,N/A,N/A
18/10/2014,N/A,38,52,36,55,46,34,39,N/A,23
19/10/2014,N/A,28,45,24,38,42,30,30,23,N/A
20/10/2014,N/A,24,38,17,19,22,27,25,19,30
21/10/2014,13,38,52,25,41,N/A,26,16,20,21
22/10/2014,12,35,42,15,37,N/A,14,13,19,28
23/10/2014,6,28,37,9,23,27,11,10,19,19
24/10/2014,11,36,44,13,38,28,10,12,17,17
25/10/2014,N/A,29,N/A,N/A,30,24,14,17,12,21
26/10/2014,9,25,46,N/A,23,24,15,19,17,15
27/10/2014,14,33,N/A,13,39,33,18,20,19,18
28/10/2014,9,29,40,15,21,34,N/A,16,9,24
29/10/2014,11,24,40,11,25,24,14,16,10,23
30/10/2014,23,45,51,17,35,42,14,13,18,16
31/10/2014,27,46,48,16,33,N/A,20,18,16,15
1/11/2014,9,26,53,14,27,29,23,18,17,16
2/11/2014,8,30,43,15,25,27,19,19,15,16
3/11/2014,8,22,41,9,23,31,18,15,10,28
4/11/2014,10,30,49,8,26,25,18,16,19,34
5/11/2014,17,41,35,7,13,30,19,17,15,14
6/11/2014,25,51,36,6,22,33,17,11,18,13
7/11/2014,17,36,44,15,41,42,16,6,16,20
8/11/2014,17,36,37,20,35,53,13,7,9,10
9/11/2014,14,32,39,23,38,43,15,10,10,8
10/11/2014,17,33,39,25,29,38,16,11,20,11
11/11/2014,26,42,49,26,43,N/A,18,14,19,17
12/11/2014,28,40,50,25,46,46,19,15,17,13
13/11/2014,N/A,33,33,24,46,37,20,22,11,N/A
14/11/2014,N/A,25,41,25,34,24,20,18,18,10
15/11/2014,18,30,41,31,49,32,20,N/A,26,11
16/11/2014,24,41,40,33,43,35,24,24,25,10
17/11/2014,19,37,N/A,27,41,31,27,23,15,14
18/11/2014,22,34,40,37,40,32,25,26,31,7
19/11/2014,25,42,39,39,48,43,26,31,28,9
20/11/2014,34,55,50,39,58,49,28,29,38,11
21/11/2014,41,66,57,44,60,68,27,36,38,12
22/11/2014,38,58,52,41,68,62,30,39,40,N/A
23/11/2014,N/A,57,48,40,60,55,26,31,42,N/A
24/11/2014,N/A,57,49,41,N/A,58,N/A,29,35,N/A
25/11/2014,33,59,52,44,54,65,29,30,38,N/A
26/11/2014,33,57,52,36,59,67,32,33,38,N/A
27/11/2014,27,42,52,37,19,31,32,32,37,N/A
28/11/2014,49,55,52,37,34,46,31,27,42,N/A
29/11/2014,53,76,68,35,43,41,23,24,38,N/A
30/11/2014,44,61,55,40,41,50,20,27,42,16
1/12/2014,26,44,50,30,41,38,21,25,34,16
2/12/2014,21,44,31,33,37,43,28,26,19,24
3/12/2014,16,39,41,27,50,24,33,42,28,26
4/12/2014,25,51,54,42,67,32,39,40,26,17
5/12/2014,13,31,N/A,39,29,32,32,35,20,22
6/12/2014,23,39,50,29,30,31,27,31,25,12
7/12/2014,23,40,49,33,41,51,23,N/A,38,17
8/12/2014,23,43,35,37,39,47,24,N/A,24,7
9/12/2014,17,35,36,48,37,41,32,37,29,10
10/12/2014,24,39,47,42,59,36,27,40,36,7
11/12/2014,19,36,44,49,55,34,34,41,40,15
12/12/2014,27,43,43,44,61,39,36,36,34,16
13/12/2014,20,40,35,36,42,61,38,30,32,9
14/12/2014,28,44,43,49,45,61,38,30,39,4
15/12/2014,38,63,57,53,68,43,40,35,48,N/A
16/12/2014,41,51,45,52,69,50,34,38,36,13
17/12/2014,28,44,48,46,44,39,28,35,40,12
18/12/2014,36,56,48,54,61,46,39,47,46,14
19/12/2014,41,62,54,59,67,48,39,49,45,11
20/12/2014,51,71,52,55,80,47,36,40,45,7
21/12/2014,46,68,55,53,71,34,30,42,59,11
22/12/2014,43,57,61,62,64,38,31,50,69,10
23/12/2014,60,79,67,78,77,56,49,65,65,12
24/12/2014,65,87,66,71,90,63,46,53,61,12
25/12/2014,51,70,48,75,69,59,51,55,34,8
26/12/2014,50,70,52,61,81,61,37,56,34,6
27/12/2014,39,64,52,79,98,65,36,46,24,7
28/12/2014,20,29,38,44,29,42,29,35,16,9
29/12/2014,18,28,33,40,30,26,27,31,41,8
30/12/2014,39,54,51,62,64,49,31,40,69,10
31/12/2014,48,59,49,N/A,62,59,34,45,43,19
