Date,59T ,61T,54T ,24T ,26T ,27T,30T ,32T,36T ,40T,46T,44T 
29/7/2015,13,20,29,N/A,18,11,15,13,13,10,13,N/A
30/7/2015,15,20,31,N/A,20,13,19,15,10,8,14,N/A
31/7/2015,11,20,25,N/A,12,12,20,16,11,8,16,N/A
1/8/2015,12,20,20,N/A,13,14,12,10,11,8,15,N/A
2/8/2015,10,17,18,N/A,14,14,12,9,15,9,15,N/A
3/8/2015,13,19,27,N/A,13,13,16,13,15,9,12,N/A
4/8/2015,10,19,27,14,10,15,16,10,15,9,14,N/A
5/8/2015,10,16,23,11,10,17,9,9,10,8,13,N/A
6/8/2015,9,14,20,20,12,10,8,10,16,10,16,N/A
7/8/2015,14,19,23,18,9,15,8,12,16,12,14,N/A
8/8/2015,11,17,21,18,11,18,10,11,14,16,14,N/A
9/8/2015,12,17,21,13,13,19,10,9,10,10,16,N/A
10/8/2015,13,19,28,20,11,15,14,11,13,11,20,N/A
11/8/2015,11,17,23,21,14,12,14,12,13,10,19,N/A
12/8/2015,14,20,25,16,17,18,19,14,9,9,17,N/A
13/8/2015,15,24,27,21,12,16,15,10,9,8,N/A,N/A
14/8/2015,11,19,28,17,12,9,N/A,9,8,7,N/A,N/A
15/8/2015,11,17,21,19,14,13,10,8,12,6,N/A,N/A
16/8/2015,12,21,24,25,14,11,11,11,10,6,N/A,N/A
17/8/2015,12,16,20,17,12,11,10,N/A,11,7,N/A,N/A
18/8/2015,10,16,23,17,13,15,19,12,14,7,14,N/A
19/8/2015,7,15,23,17,11,14,17,9,12,8,16,N/A
20/8/2015,9,15,24,22,8,14,12,8,15,8,13,N/A
21/8/2015,9,13,17,18,7,14,6,6,9,9,13,N/A
22/8/2015,8,14,21,13,8,10,7,7,6,8,10,N/A
23/8/2015,9,19,18,13,14,12,7,8,9,6,10,N/A
24/8/2015,9,16,22,14,10,11,8,10,9,8,10,N/A
25/8/2015,10,N/A,15,17,12,9,9,10,13,8,17,N/A
26/8/2015,11,N/A,22,16,10,9,9,10,14,7,13,N/A
27/8/2015,10,N/A,22,14,13,6,9,11,11,8,12,N/A
28/8/2015,14,20,30,16,15,15,12,11,12,8,16,N/A
29/8/2015,12,18,21,16,13,18,17,13,N/A,10,15,N/A
30/8/2015,8,21,22,N/A,11,16,19,14,N/A,9,16,N/A
31/8/2015,9,19,25,N/A,14,12,14,11,12,8,15,N/A
1/9/2015,10,15,22,N/A,15,13,8,7,17,12,16,N/A
2/9/2015,9,15,19,10,13,6,N/A,8,19,14,20,N/A
3/9/2015,14,18,25,18,18,15,16,12,10,8,19,N/A
4/9/2015,14,22,29,14,14,20,15,11,12,9,18,N/A
5/9/2015,13,18,24,13,12,15,9,7,13,9,16,N/A
6/9/2015,8,15,20,18,12,11,10,6,9,6,13,N/A
7/9/2015,8,12,18,17,10,7,10,6,14,7,17,N/A
8/9/2015,7,11,16,23,12,10,10,7,11,6,13,N/A
9/9/2015,8,14,25,21,12,10,12,6,11,9,14,N/A
10/9/2015,13,23,31,23,15,21,21,7,15,10,14,N/A
11/9/2015,17,24,24,17,17,16,15,8,11,9,11,N/A
12/9/2015,13,18,21,N/A,15,17,9,6,9,9,16,N/A
13/9/2015,12,18,20,17,11,10,29,9,12,10,19,N/A
14/9/2015,8,17,18,19,13,8,29,10,14,9,28,N/A
15/9/2015,10,18,22,19,13,10,N/A,9,12,13,29,N/A
16/9/2015,8,16,20,18,10,9,N/A,N/A,20,15,15,N/A
17/9/2015,9,19,24,15,10,10,N/A,N/A,21,11,10,N/A
18/9/2015,13,20,24,16,14,9,N/A,N/A,9,5,11,N/A
19/9/2015,24,27,34,26,33,25,N/A,19,6,7,20,N/A
20/9/2015,51,60,51,54,39,52,N/A,59,13,11,20,N/A
21/9/2015,44,50,53,45,38,46,N/A,54,22,18,17,N/A
22/9/2015,22,30,26,43,17,22,N/A,33,19,14,17,N/A
23/9/2015,13,24,23,N/A,11,19,N/A,13,17,12,18,N/A
24/9/2015,12,22,23,16,9,6,N/A,9,12,9,21,N/A
25/9/2015,9,21,21,18,9,9,N/A,8,11,8,21,N/A
26/9/2015,11,21,19,19,11,10,N/A,8,14,12,22,N/A
27/9/2015,12,24,24,18,12,7,N/A,16,16,12,21,N/A
28/9/2015,16,23,17,22,14,11,N/A,11,14,14,20,N/A
29/9/2015,15,26,26,23,12,10,N/A,10,22,17,21,N/A
30/9/2015,23,31,35,24,18,16,N/A,15,23,19,21,N/A
1/10/2015,18,26,N/A,22,15,21,N/A,17,11,17,18,N/A
2/10/2015,19,27,34,23,18,28,24,24,11,13,22,N/A
3/10/2015,16,28,39,15,16,10,N/A,N/A,12,12,20,N/A
4/10/2015,14,25,25,18,12,3,N/A,N/A,17,14,18,N/A
5/10/2015,10,19,28,30,10,3,N/A,N/A,16,14,14,N/A
6/10/2015,17,21,40,29,15,15,21,N/A,12,9,14,N/A
7/10/2015,19,26,37,31,16,11,29,15,8,8,15,N/A
8/10/2015,12,22,29,36,13,14,35,18,9,9,12,N/A
9/10/2015,17,24,29,25,14,13,72,17,9,10,15,N/A
10/10/2015,16,25,29,23,14,14,34,12,9,N/A,12,N/A
11/10/2015,13,24,32,28,11,11,26,13,7,N/A,10,N/A
12/10/2015,15,22,26,25,12,16,33,11,8,9,N/A,N/A
13/10/2015,16,24,31,31,18,19,28,16,11,10,15,N/A
14/10/2015,21,27,28,42,19,23,30,20,12,12,20,N/A
15/10/2015,20,28,36,39,26,34,28,19,13,13,23,N/A
16/10/2015,29,30,47,49,32,49,33,23,17,16,26,N/A
17/10/2015,32,39,49,58,38,64,50,28,21,14,29,N/A
18/10/2015,32,38,47,57,N/A,N/A,44,25,18,17,42,N/A
19/10/2015,N/A,44,48,67,N/A,N/A,55,31,16,20,48,N/A
20/10/2015,N/A,46,38,66,N/A,23,35,20,12,20,46,N/A
21/10/2015,22,33,36,54,N/A,17,21,17,14,11,39,N/A
22/10/2015,37,41,53,61,30,42,28,24,18,16,45,N/A
23/10/2015,43,55,52,62,38,67,35,38,21,22,58,N/A
24/10/2015,38,46,53,64,49,57,34,36,24,27,43,N/A
25/10/2015,32,39,42,52,43,41,39,29,34,34,33,N/A
26/10/2015,31,39,51,51,43,50,42,28,36,31,33,N/A
27/10/2015,29,33,42,48,35,51,25,19,34,29,27,N/A
28/10/2015,27,35,47,45,23,29,27,25,31,28,22,N/A
29/10/2015,29,32,53,33,34,48,34,34,22,22,22,N/A
30/10/2015,22,29,47,35,33,45,44,34,20,20,26,N/A
